Metric,Value
Accuracy,0.9907326680672269
AUC-ROC,0.9995359875473957
F1-Score,0.9907664704973781
Precision,0.9908207788578546
Recall,0.9907326680672269
True Negatives,660928.0
False Positives,4359.0
False Negatives,2699.0
True Positives,93614.0
Total Test Samples,761600.0
