,precision,recall,f1-score,support
Normal,0.9959329563143151,0.9934479405128914,0.9946888963469419,665287.0
Attack,0.9555081502046482,0.9719767840270784,0.9636721122468938,96313.0
accuracy,0.9907326680672269,0.9907326680672269,0.9907326680672269,0.9907326680672269
macro avg,0.9757205532594817,0.9827123622699849,0.9791805042969178,761600.0
weighted avg,0.9908207788578546,0.9907326680672269,0.990766470497378,761600.0
